k,BLEU,chrF,chrF++,Normalized_BLEU,time_minutes
0,5.376437540689003,25.152373751006213,19.71128678754239,0.05376437540689003,8.11455585161845
1,4.521920382276018,34.703166697091696,28.17638611827007,0.04521920382276018,8.662397559483846
2,7.408590762781679,34.57901557738534,28.059462344107324,0.07408590762781679,8.440562828381855
3,7.408590762781679,34.57901557738534,28.059462344107324,0.07408590762781679,8.266562183698019
4,7.408590762781679,34.57901557738534,28.059462344107324,0.07408590762781679,10.700251511732738
5,7.408590762781679,34.57901557738534,28.059462344107324,0.07408590762781679,13.647531584898632
6,0.0,0.0,0.0,0.0,16.77291637659073
7,1.1493330194206166,4.065656273196123,3.083204422625618,0.011493330194206166,20.39729017019272
8,0.0,2.309747559634329,1.7323106697257469,0.0,24.03539751370748
9,0.0,0.0,0.0,0.0,27.321859010060628
10,0.0,0.0,0.0,0.0,29.453006215890248
